"club","points","wins","draws","loses","objective","playersFile"
"Legends","0","0","0","0","1","2_league/Legends.csv"
"Galaxy","0","0","0","0","1","2_league/Galaxy.csv"
"Brigade","0","0","0","0","1","2_league/Brigade.csv"
"Foxes","0","0","0","0","2-4","2_league/Foxes.csv"
"Ironmen","0","0","0","0","2-4","2_league/Ironmen.csv"
"A Team","0","0","0","0","2-4","2_league/A Team.csv"
"Rough Necks","0","0","0","0","5-16","2_league/Rough Necks.csv"
"Lightning","0","0","0","0","5-16","2_league/Lightning.csv"
"Felons","0","0","0","0","5-16","2_league/Felons.csv"
"Phenomenon","0","0","0","0","5-16","2_league/Phenomenon.csv"
"End Game","0","0","0","0","5-16","2_league/End Game.csv"
"Elite","0","0","0","0","5-16","2_league/Elite.csv"
"Masters","0","0","0","0","5-16","2_league/Masters.csv"
"Unstoppable","0","0","0","0","5-16","2_league/Unstoppable.csv"
"Alliance","0","0","0","0","5-16","2_league/Alliance.csv"
"Dream Team","0","0","0","0","5-16","2_league/Dream Team.csv"
"Revolution","0","0","0","0","5-16","2_league/Revolution.csv"
"No Sympathy","0","0","0","0","5-16","2_league/No Sympathy.csv"
